Country,Year,Month,State/Ut Name,Type Of Supply,"E-Way Suppliers (UOM:Number), Scaling Factor:1","E-Way Bills (UOM:Number), Scaling Factor:1","Assessable Value (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,"Calendar Year (Jan - Dec), 2025","June, 2025",JAMMU AND KASHMIR,INCOMING FROM OTHER STATES,21504,278562,7986.1787
India,"Calendar Year (Jan - Dec), 2025","June, 2025",JAMMU AND KASHMIR,OUTGOING TO OTHER STATES,4690,59414,4345.4628
India,"Calendar Year (Jan - Dec), 2025","June, 2025",JAMMU AND KASHMIR,WITHIN-STATE,9858,326554,5471.4971
India,"Calendar Year (Jan - Dec), 2025","June, 2025",JHARKHAND,INCOMING FROM OTHER STATES,32329,515523,19080.231
India,"Calendar Year (Jan - Dec), 2025","June, 2025",JHARKHAND,OUTGOING TO OTHER STATES,9841,292739,18978.1725
India,"Calendar Year (Jan - Dec), 2025","June, 2025",JHARKHAND,WITHIN-STATE,13130,768558,16387.182099999998
India,"Calendar Year (Jan - Dec), 2025","June, 2025",KARNATAKA,INCOMING FROM OTHER STATES,134802,2787681,103436.5983
India,"Calendar Year (Jan - Dec), 2025","June, 2025",KARNATAKA,OUTGOING TO OTHER STATES,63254,3204383,91677.1624
India,"Calendar Year (Jan - Dec), 2025","June, 2025",KARNATAKA,WITHIN-STATE,123730,8597128,125304.4442
India,"Calendar Year (Jan - Dec), 2025","June, 2025",KERALA,INCOMING FROM OTHER STATES,59908,974030,23494.0187
India,"Calendar Year (Jan - Dec), 2025","June, 2025",KERALA,OUTGOING TO OTHER STATES,18521,252523,11026.2744
India,"Calendar Year (Jan - Dec), 2025","June, 2025",KERALA,WITHIN-STATE,47994,2072506,56755.9393
India,"Calendar Year (Jan - Dec), 2025","June, 2025",LADAKH,INCOMING FROM OTHER STATES,2224,25072,657.4236999999999
India,"Calendar Year (Jan - Dec), 2025","June, 2025",LADAKH,OUTGOING TO OTHER STATES,112,646,23.4051
India,"Calendar Year (Jan - Dec), 2025","June, 2025",LADAKH,WITHIN-STATE,192,2919,87.8539
India,"Calendar Year (Jan - Dec), 2025","June, 2025",LAKSHADWEEP,INCOMING FROM OTHER STATES,43,311,8.455
India,"Calendar Year (Jan - Dec), 2025","June, 2025",LAKSHADWEEP,OUTGOING TO OTHER STATES,4,29,0.7125
India,"Calendar Year (Jan - Dec), 2025","June, 2025",LAKSHADWEEP,WITHIN-STATE,1,1,0.12
India,"Calendar Year (Jan - Dec), 2025","June, 2025",MADHYA PRADESH,INCOMING FROM OTHER STATES,86863,1284546,42112.1622
India,"Calendar Year (Jan - Dec), 2025","June, 2025",MADHYA PRADESH,OUTGOING TO OTHER STATES,25675,640700,32679.973599999998
India,"Calendar Year (Jan - Dec), 2025","June, 2025",MADHYA PRADESH,WITHIN-STATE,30273,1464028,28275.9142
India,"Calendar Year (Jan - Dec), 2025","June, 2025",MAHARASHTRA,INCOMING FROM OTHER STATES,236428,4077140,186450.32059999998
India,"Calendar Year (Jan - Dec), 2025","June, 2025",MAHARASHTRA,OUTGOING TO OTHER STATES,128683,5505268,190881.14429999999
India,"Calendar Year (Jan - Dec), 2025","June, 2025",MAHARASHTRA,WITHIN-STATE,176845,12446033,241031.9016
India,"Calendar Year (Jan - Dec), 2025","June, 2025",MANIPUR,INCOMING FROM OTHER STATES,2805,34181,721.0847
India,"Calendar Year (Jan - Dec), 2025","June, 2025",MANIPUR,OUTGOING TO OTHER STATES,233,2740,278.1628
India,"Calendar Year (Jan - Dec), 2025","June, 2025",MANIPUR,WITHIN-STATE,186,5002,128.36
India,"Calendar Year (Jan - Dec), 2025","June, 2025",MEGHALAYA,INCOMING FROM OTHER STATES,4082,52068,1180.1124
India,"Calendar Year (Jan - Dec), 2025","June, 2025",MEGHALAYA,OUTGOING TO OTHER STATES,693,30821,696.9083999999999
India,"Calendar Year (Jan - Dec), 2025","June, 2025",MEGHALAYA,WITHIN-STATE,698,19129,366.1828
India,"Calendar Year (Jan - Dec), 2025","June, 2025",MIZORAM,INCOMING FROM OTHER STATES,2295,32103,521.8933999999999
India,"Calendar Year (Jan - Dec), 2025","June, 2025",MIZORAM,OUTGOING TO OTHER STATES,111,1284,23.328699999999998
India,"Calendar Year (Jan - Dec), 2025","June, 2025",MIZORAM,WITHIN-STATE,69,1641,27.527800000000003
India,"Calendar Year (Jan - Dec), 2025","June, 2025",NAGALAND,INCOMING FROM OTHER STATES,2937,36301,666.6718
India,"Calendar Year (Jan - Dec), 2025","June, 2025",NAGALAND,OUTGOING TO OTHER STATES,330,3214,133.7278
India,"Calendar Year (Jan - Dec), 2025","June, 2025",NAGALAND,WITHIN-STATE,272,3702,95.94139999999999
India,"Calendar Year (Jan - Dec), 2025","June, 2025",ODISHA,INCOMING FROM OTHER STATES,40076,623987,32838.328
India,"Calendar Year (Jan - Dec), 2025","June, 2025",ODISHA,OUTGOING TO OTHER STATES,8911,390520,34186.6218
India,"Calendar Year (Jan - Dec), 2025","June, 2025",ODISHA,WITHIN-STATE,21788,1423844,28546.459
India,"Calendar Year (Jan - Dec), 2025","June, 2025",Other Territory,INCOMING FROM OTHER STATES,230,12320,2304.8542
India,"Calendar Year (Jan - Dec), 2025","June, 2025",Other Territory,OUTGOING TO OTHER STATES,39,4278,490.087
India,"Calendar Year (Jan - Dec), 2025","June, 2025",Other Territory,WITHIN-STATE,8,186,76.9795
India,"Calendar Year (Jan - Dec), 2025","June, 2025",PUDUCHERRY,INCOMING FROM OTHER STATES,6477,152133,4736.8282
India,"Calendar Year (Jan - Dec), 2025","June, 2025",PUDUCHERRY,OUTGOING TO OTHER STATES,2270,146090,5766.3722
India,"Calendar Year (Jan - Dec), 2025","June, 2025",PUDUCHERRY,WITHIN-STATE,1391,55237,1819.6514000000002
India,"Calendar Year (Jan - Dec), 2025","June, 2025",PUNJAB,INCOMING FROM OTHER STATES,80201,1174912,41571.2577
India,"Calendar Year (Jan - Dec), 2025","June, 2025",PUNJAB,OUTGOING TO OTHER STATES,53513,1347489,40084.0286
India,"Calendar Year (Jan - Dec), 2025","June, 2025",PUNJAB,WITHIN-STATE,78338,2786860,55052.2055
India,"Calendar Year (Jan - Dec), 2025","June, 2025",RAJASTHAN,INCOMING FROM OTHER STATES,118071,1747067,65830.3017
India,"Calendar Year (Jan - Dec), 2025","June, 2025",RAJASTHAN,OUTGOING TO OTHER STATES,59595,1690724,51539.5959
India,"Calendar Year (Jan - Dec), 2025","June, 2025",RAJASTHAN,WITHIN-STATE,69444,2352659,53115.8171
India,"Calendar Year (Jan - Dec), 2025","June, 2025",SIKKIM,INCOMING FROM OTHER STATES,3151,66170,1299.4977000000001
India,"Calendar Year (Jan - Dec), 2025","June, 2025",SIKKIM,OUTGOING TO OTHER STATES,273,8159,3867.6585999999998
India,"Calendar Year (Jan - Dec), 2025","June, 2025",SIKKIM,WITHIN-STATE,237,6652,109.8397
India,"Calendar Year (Jan - Dec), 2025","June, 2025",TAMIL NADU,INCOMING FROM OTHER STATES,137069,2925008,117395.8631
India,"Calendar Year (Jan - Dec), 2025","June, 2025",TAMIL NADU,OUTGOING TO OTHER STATES,80498,2870975,119483.3696
India,"Calendar Year (Jan - Dec), 2025","June, 2025",TAMIL NADU,WITHIN-STATE,142850,8730135,164469.8665
India,"Calendar Year (Jan - Dec), 2025","June, 2025",TELANGANA,INCOMING FROM OTHER STATES,73739,1715255,53649.2853
India,"Calendar Year (Jan - Dec), 2025","June, 2025",TELANGANA,OUTGOING TO OTHER STATES,37669,1100840,43582.5575
India,"Calendar Year (Jan - Dec), 2025","June, 2025",TELANGANA,WITHIN-STATE,54836,4087020,55762.574400000005
India,"Calendar Year (Jan - Dec), 2025","June, 2025",TRIPURA,INCOMING FROM OTHER STATES,4829,43423,994.4395
India,"Calendar Year (Jan - Dec), 2025","June, 2025",TRIPURA,OUTGOING TO OTHER STATES,605,3710,350.0493
India,"Calendar Year (Jan - Dec), 2025","June, 2025",TRIPURA,WITHIN-STATE,2235,45297,979.8485000000001
India,"Calendar Year (Jan - Dec), 2025","June, 2025",UTTAR PRADESH,INCOMING FROM OTHER STATES,228038,3649774,113185.5683
India,"Calendar Year (Jan - Dec), 2025","June, 2025",UTTAR PRADESH,OUTGOING TO OTHER STATES,102516,3207377,93215.9659
India,"Calendar Year (Jan - Dec), 2025","June, 2025",UTTAR PRADESH,WITHIN-STATE,159986,8023400,113751.4908
India,"Calendar Year (Jan - Dec), 2025","June, 2025",UTTARAKHAND,INCOMING FROM OTHER STATES,32447,838605,20311.083300000002
India,"Calendar Year (Jan - Dec), 2025","June, 2025",UTTARAKHAND,OUTGOING TO OTHER STATES,10810,525149,22589.5937
India,"Calendar Year (Jan - Dec), 2025","June, 2025",UTTARAKHAND,WITHIN-STATE,16276,832604,14425.301200000002
India,"Calendar Year (Jan - Dec), 2025","June, 2025",WEST BENGAL,INCOMING FROM OTHER STATES,76797,1487698,56217.223600000005
India,"Calendar Year (Jan - Dec), 2025","June, 2025",WEST BENGAL,OUTGOING TO OTHER STATES,49296,1212144,48955.5487
India,"Calendar Year (Jan - Dec), 2025","June, 2025",WEST BENGAL,WITHIN-STATE,63362,4020702,68089.6684
India,"Calendar Year (Jan - Dec), 2025","May, 2025",ANDAMAN AND NICOBAR,INCOMING FROM OTHER STATES,1197,12872,367.3057
India,"Calendar Year (Jan - Dec), 2025","May, 2025",ANDAMAN AND NICOBAR,OUTGOING TO OTHER STATES,138,802,116.7173
