Country,Year,Month,State/Ut Name,Type Of Supply,"E-Way Suppliers (UOM:Number), Scaling Factor:1","E-Way Bills (UOM:Number), Scaling Factor:1","Assessable Value (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,"Calendar Year (Jan - Dec), 2024","May, 2024",ANDAMAN AND NICOBAR,OUTGOING TO OTHER STATES,123,436,83.5886
India,"Calendar Year (Jan - Dec), 2024","May, 2024",ANDAMAN AND NICOBAR,WITHIN-STATE,105,2932,57.39
India,"Calendar Year (Jan - Dec), 2024","May, 2024",ANDHRA PRADESH,INCOMING FROM OTHER STATES,74282,1064868,40323.126299999996
India,"Calendar Year (Jan - Dec), 2024","May, 2024",ANDHRA PRADESH,OUTGOING TO OTHER STATES,23522,564918,41892.7952
India,"Calendar Year (Jan - Dec), 2024","May, 2024",ANDHRA PRADESH,WITHIN-STATE,37981,2186704,35794.1695
India,"Calendar Year (Jan - Dec), 2024","May, 2024",ARUNACHAL PRADESH,INCOMING FROM OTHER STATES,4372,49217,992.6327
India,"Calendar Year (Jan - Dec), 2024","May, 2024",ARUNACHAL PRADESH,OUTGOING TO OTHER STATES,336,3034,152.9423
India,"Calendar Year (Jan - Dec), 2024","May, 2024",ARUNACHAL PRADESH,WITHIN-STATE,345,7216,140.7497
India,"Calendar Year (Jan - Dec), 2024","May, 2024",ASSAM,INCOMING FROM OTHER STATES,30180,443324,14413.5712
India,"Calendar Year (Jan - Dec), 2024","May, 2024",ASSAM,OUTGOING TO OTHER STATES,12337,247398,8799.0397
India,"Calendar Year (Jan - Dec), 2024","May, 2024",ASSAM,WITHIN-STATE,16360,682165,12608.288400000001
India,"Calendar Year (Jan - Dec), 2024","May, 2024",BIHAR,INCOMING FROM OTHER STATES,67636,845365,22147.868
India,"Calendar Year (Jan - Dec), 2024","May, 2024",BIHAR,OUTGOING TO OTHER STATES,10534,128123,4586.433
India,"Calendar Year (Jan - Dec), 2024","May, 2024",BIHAR,WITHIN-STATE,14488,889604,15863.47
India,"Calendar Year (Jan - Dec), 2024","May, 2024",CHANDIGARH,INCOMING FROM OTHER STATES,9236,186677,3455.9366999999997
India,"Calendar Year (Jan - Dec), 2024","May, 2024",CHANDIGARH,OUTGOING TO OTHER STATES,5390,105202,2140.0276
India,"Calendar Year (Jan - Dec), 2024","May, 2024",CHANDIGARH,WITHIN-STATE,2516,33520,488.0222
India,"Calendar Year (Jan - Dec), 2024","May, 2024",CHHATTISGARH,INCOMING FROM OTHER STATES,29003,548558,21538.0916
India,"Calendar Year (Jan - Dec), 2024","May, 2024",CHHATTISGARH,OUTGOING TO OTHER STATES,10199,243401,22279.733900000003
India,"Calendar Year (Jan - Dec), 2024","May, 2024",CHHATTISGARH,WITHIN-STATE,11577,510885,16267.186200000002
India,"Calendar Year (Jan - Dec), 2024","May, 2024",DADRA AND NAGAR HAVELI,INCOMING FROM OTHER STATES,5895,210280,15954.2966
India,"Calendar Year (Jan - Dec), 2024","May, 2024",DADRA AND NAGAR HAVELI,OUTGOING TO OTHER STATES,4092,478417,20260.2201
India,"Calendar Year (Jan - Dec), 2024","May, 2024",DADRA AND NAGAR HAVELI,WITHIN-STATE,3170,138253,6218.8727
India,"Calendar Year (Jan - Dec), 2024","May, 2024",DAMAN AND DIU,INCOMING FROM OTHER STATES,38,65,2.4221
India,"Calendar Year (Jan - Dec), 2024","May, 2024",DAMAN AND DIU,OUTGOING TO OTHER STATES,0,0,0
India,"Calendar Year (Jan - Dec), 2024","May, 2024",DAMAN AND DIU,WITHIN-STATE,0,0,0
India,"Calendar Year (Jan - Dec), 2024","May, 2024",DELHI,INCOMING FROM OTHER STATES,141836,3368013,63768.8029
India,"Calendar Year (Jan - Dec), 2024","May, 2024",DELHI,OUTGOING TO OTHER STATES,134861,1939200,55026.759900000005
India,"Calendar Year (Jan - Dec), 2024","May, 2024",DELHI,WITHIN-STATE,78170,1347834,42091.260700000006
India,"Calendar Year (Jan - Dec), 2024","May, 2024",GOA,INCOMING FROM OTHER STATES,8593,169812,6611.4886
India,"Calendar Year (Jan - Dec), 2024","May, 2024",GOA,OUTGOING TO OTHER STATES,2015,75426,5914.278499999999
India,"Calendar Year (Jan - Dec), 2024","May, 2024",GOA,WITHIN-STATE,2205,138956,2735.5231
India,"Calendar Year (Jan - Dec), 2024","May, 2024",GUJARAT,INCOMING FROM OTHER STATES,157387,2389650,116006.2158
India,"Calendar Year (Jan - Dec), 2024","May, 2024",GUJARAT,OUTGOING TO OTHER STATES,152417,4557195,155338.06769999999
India,"Calendar Year (Jan - Dec), 2024","May, 2024",GUJARAT,WITHIN-STATE,187572,6332256,172745.3166
India,"Calendar Year (Jan - Dec), 2024","May, 2024",HARYANA,INCOMING FROM OTHER STATES,120202,2573248,97133.4357
India,"Calendar Year (Jan - Dec), 2024","May, 2024",HARYANA,OUTGOING TO OTHER STATES,75256,6168288,104748.1073
India,"Calendar Year (Jan - Dec), 2024","May, 2024",HARYANA,WITHIN-STATE,86236,4926315,77045.8443
India,"Calendar Year (Jan - Dec), 2024","May, 2024",HIMACHAL PRADESH,INCOMING FROM OTHER STATES,25928,405580,12462.5119
India,"Calendar Year (Jan - Dec), 2024","May, 2024",HIMACHAL PRADESH,OUTGOING TO OTHER STATES,6579,359601,14895.993999999999
India,"Calendar Year (Jan - Dec), 2024","May, 2024",HIMACHAL PRADESH,WITHIN-STATE,10109,373352,7557.0922
India,"Calendar Year (Jan - Dec), 2024","May, 2024",JAMMU AND KASHMIR,INCOMING FROM OTHER STATES,22579,261638,8479.300500000001
India,"Calendar Year (Jan - Dec), 2024","May, 2024",JAMMU AND KASHMIR,OUTGOING TO OTHER STATES,4650,59703,3942.4353
India,"Calendar Year (Jan - Dec), 2024","May, 2024",JAMMU AND KASHMIR,WITHIN-STATE,9356,338580,5550.2020999999995
India,"Calendar Year (Jan - Dec), 2024","May, 2024",JHARKHAND,INCOMING FROM OTHER STATES,31518,514174,19651.9663
India,"Calendar Year (Jan - Dec), 2024","May, 2024",JHARKHAND,OUTGOING TO OTHER STATES,10269,282730,19244.0107
India,"Calendar Year (Jan - Dec), 2024","May, 2024",JHARKHAND,WITHIN-STATE,12568,735488,17300.778700000003
India,"Calendar Year (Jan - Dec), 2024","May, 2024",KARNATAKA,INCOMING FROM OTHER STATES,131274,2527131,94867.2134
India,"Calendar Year (Jan - Dec), 2024","May, 2024",KARNATAKA,OUTGOING TO OTHER STATES,60326,2668586,82730.9054
India,"Calendar Year (Jan - Dec), 2024","May, 2024",KARNATAKA,WITHIN-STATE,119544,6679998,112082.2648
India,"Calendar Year (Jan - Dec), 2024","May, 2024",KERALA,INCOMING FROM OTHER STATES,60970,859324,23120.2271
India,"Calendar Year (Jan - Dec), 2024","May, 2024",KERALA,OUTGOING TO OTHER STATES,18514,237453,10708.1334
India,"Calendar Year (Jan - Dec), 2024","May, 2024",KERALA,WITHIN-STATE,47684,2084008,29833.1522
India,"Calendar Year (Jan - Dec), 2024","May, 2024",LADAKH,INCOMING FROM OTHER STATES,2152,24546,666.0467
India,"Calendar Year (Jan - Dec), 2024","May, 2024",LADAKH,OUTGOING TO OTHER STATES,91,451,22.0575
India,"Calendar Year (Jan - Dec), 2024","May, 2024",LADAKH,WITHIN-STATE,169,2805,66.0747
India,"Calendar Year (Jan - Dec), 2024","May, 2024",LAKSHADWEEP,INCOMING FROM OTHER STATES,59,717,12.3772
India,"Calendar Year (Jan - Dec), 2024","May, 2024",LAKSHADWEEP,OUTGOING TO OTHER STATES,2,3,0.1204
India,"Calendar Year (Jan - Dec), 2024","May, 2024",LAKSHADWEEP,WITHIN-STATE,0,0,0
India,"Calendar Year (Jan - Dec), 2024","May, 2024",MADHYA PRADESH,INCOMING FROM OTHER STATES,84638,1138693,40627.2898
India,"Calendar Year (Jan - Dec), 2024","May, 2024",MADHYA PRADESH,OUTGOING TO OTHER STATES,25121,630514,30099.105
India,"Calendar Year (Jan - Dec), 2024","May, 2024",MADHYA PRADESH,WITHIN-STATE,29804,1257729,26117.322799999998
India,"Calendar Year (Jan - Dec), 2024","May, 2024",MAHARASHTRA,INCOMING FROM OTHER STATES,229523,3654901,167819.3334
India,"Calendar Year (Jan - Dec), 2024","May, 2024",MAHARASHTRA,OUTGOING TO OTHER STATES,127361,5072808,178800.8939
India,"Calendar Year (Jan - Dec), 2024","May, 2024",MAHARASHTRA,WITHIN-STATE,170672,10221546,220645.76320000002
India,"Calendar Year (Jan - Dec), 2024","May, 2024",MANIPUR,INCOMING FROM OTHER STATES,2955,36190,851.4643
India,"Calendar Year (Jan - Dec), 2024","May, 2024",MANIPUR,OUTGOING TO OTHER STATES,199,2277,228.4768
India,"Calendar Year (Jan - Dec), 2024","May, 2024",MANIPUR,WITHIN-STATE,192,4421,161.0928
India,"Calendar Year (Jan - Dec), 2024","May, 2024",MEGHALAYA,INCOMING FROM OTHER STATES,4129,52338,1279.0118
India,"Calendar Year (Jan - Dec), 2024","May, 2024",MEGHALAYA,OUTGOING TO OTHER STATES,661,34463,678.8613
India,"Calendar Year (Jan - Dec), 2024","May, 2024",MEGHALAYA,WITHIN-STATE,600,22109,416.82989999999995
India,"Calendar Year (Jan - Dec), 2024","May, 2024",MIZORAM,INCOMING FROM OTHER STATES,2252,29974,553.8093
India,"Calendar Year (Jan - Dec), 2024","May, 2024",MIZORAM,OUTGOING TO OTHER STATES,117,1189,32.9429
India,"Calendar Year (Jan - Dec), 2024","May, 2024",MIZORAM,WITHIN-STATE,69,2277,42.1695
India,"Calendar Year (Jan - Dec), 2024","May, 2024",NAGALAND,INCOMING FROM OTHER STATES,2979,38007,729.6874
India,"Calendar Year (Jan - Dec), 2024","May, 2024",NAGALAND,OUTGOING TO OTHER STATES,368,4544,165.02939999999998
India,"Calendar Year (Jan - Dec), 2024","May, 2024",NAGALAND,WITHIN-STATE,234,4187,101.3208
India,"Calendar Year (Jan - Dec), 2024","May, 2024",ODISHA,INCOMING FROM OTHER STATES,40335,607674,26358.091
India,"Calendar Year (Jan - Dec), 2024","May, 2024",ODISHA,OUTGOING TO OTHER STATES,8770,412523,35265.0969
India,"Calendar Year (Jan - Dec), 2024","May, 2024",ODISHA,WITHIN-STATE,20816,1469932,30530.657400000004
India,"Calendar Year (Jan - Dec), 2024","May, 2024",Other Territory,INCOMING FROM OTHER STATES,206,14545,2926.1653
India,"Calendar Year (Jan - Dec), 2024","May, 2024",Other Territory,OUTGOING TO OTHER STATES,34,2616,491.44379999999995
India,"Calendar Year (Jan - Dec), 2024","May, 2024",Other Territory,WITHIN-STATE,8,132,24.5473
India,"Calendar Year (Jan - Dec), 2024","May, 2024",PUDUCHERRY,INCOMING FROM OTHER STATES,6406,143809,4194.2885
India,"Calendar Year (Jan - Dec), 2024","May, 2024",PUDUCHERRY,OUTGOING TO OTHER STATES,2303,137344,4698.5784
India,"Calendar Year (Jan - Dec), 2024","May, 2024",PUDUCHERRY,WITHIN-STATE,1393,55863,2251.3307
India,"Calendar Year (Jan - Dec), 2024","May, 2024",PUNJAB,INCOMING FROM OTHER STATES,78663,1134968,39802.0206
India,"Calendar Year (Jan - Dec), 2024","May, 2024",PUNJAB,OUTGOING TO OTHER STATES,54184,1256258,38951.0098
India,"Calendar Year (Jan - Dec), 2024","May, 2024",PUNJAB,WITHIN-STATE,76675,2543269,56588.9335
India,"Calendar Year (Jan - Dec), 2024","May, 2024",RAJASTHAN,INCOMING FROM OTHER STATES,117553,1654376,62166.688799999996
India,"Calendar Year (Jan - Dec), 2024","May, 2024",RAJASTHAN,OUTGOING TO OTHER STATES,59854,1748307,53272.2724
India,"Calendar Year (Jan - Dec), 2024","May, 2024",RAJASTHAN,WITHIN-STATE,70202,2098564,51520.43519999999
India,"Calendar Year (Jan - Dec), 2024","May, 2024",SIKKIM,INCOMING FROM OTHER STATES,2665,52219,1192.1275
India,"Calendar Year (Jan - Dec), 2024","May, 2024",SIKKIM,OUTGOING TO OTHER STATES,248,7159,3350.0927
India,"Calendar Year (Jan - Dec), 2024","May, 2024",SIKKIM,WITHIN-STATE,221,13183,274.66540000000003
India,"Calendar Year (Jan - Dec), 2024","May, 2024",TAMIL NADU,INCOMING FROM OTHER STATES,131721,2587998,107254.8618
India,"Calendar Year (Jan - Dec), 2024","May, 2024",TAMIL NADU,OUTGOING TO OTHER STATES,80039,2680038,107205.12039999999
India,"Calendar Year (Jan - Dec), 2024","May, 2024",TAMIL NADU,WITHIN-STATE,137737,7877276,151197.5785
India,"Calendar Year (Jan - Dec), 2024","May, 2024",TELANGANA,INCOMING FROM OTHER STATES,70621,1466960,48706.8235
India,"Calendar Year (Jan - Dec), 2024","May, 2024",TELANGANA,OUTGOING TO OTHER STATES,36550,961295,39756.619399999996
India,"Calendar Year (Jan - Dec), 2024","May, 2024",TELANGANA,WITHIN-STATE,53967,3243990,50076.860199999996
India,"Calendar Year (Jan - Dec), 2024","May, 2024",TRIPURA,INCOMING FROM OTHER STATES,5155,49183,1187.7051
India,"Calendar Year (Jan - Dec), 2024","May, 2024",TRIPURA,OUTGOING TO OTHER STATES,668,3977,338.8125
India,"Calendar Year (Jan - Dec), 2024","May, 2024",TRIPURA,WITHIN-STATE,2048,48199,911.3579
India,"Calendar Year (Jan - Dec), 2024","May, 2024",UTTAR PRADESH,INCOMING FROM OTHER STATES,224025,3416442,106348.22300000001
India,"Calendar Year (Jan - Dec), 2024","May, 2024",UTTAR PRADESH,OUTGOING TO OTHER STATES,99289,2167173,82848.7025
India,"Calendar Year (Jan - Dec), 2024","May, 2024",UTTAR PRADESH,WITHIN-STATE,152781,6449703,111587.8481
India,"Calendar Year (Jan - Dec), 2024","May, 2024",UTTARAKHAND,INCOMING FROM OTHER STATES,32138,668615,20085.2221
India,"Calendar Year (Jan - Dec), 2024","May, 2024",UTTARAKHAND,OUTGOING TO OTHER STATES,10772,457806,23032.423
India,"Calendar Year (Jan - Dec), 2024","May, 2024",UTTARAKHAND,WITHIN-STATE,16080,883910,14736.367
India,"Calendar Year (Jan - Dec), 2024","May, 2024",WEST BENGAL,INCOMING FROM OTHER STATES,75159,1391989,56098.0721
India,"Calendar Year (Jan - Dec), 2024","May, 2024",WEST BENGAL,OUTGOING TO OTHER STATES,46890,1047178,47478.191399999996
India,"Calendar Year (Jan - Dec), 2024","May, 2024",WEST BENGAL,WITHIN-STATE,61589,3220626,66792.86660000001
India,"Calendar Year (Jan - Dec), 2024","April, 2024",ANDAMAN AND NICOBAR,INCOMING FROM OTHER STATES,1170,12191,282.3238
India,"Calendar Year (Jan - Dec), 2024","April, 2024",ANDAMAN AND NICOBAR,OUTGOING TO OTHER STATES,105,355,58.865
India,"Calendar Year (Jan - Dec), 2024","April, 2024",ANDAMAN AND NICOBAR,WITHIN-STATE,102,2943,74.429
India,"Calendar Year (Jan - Dec), 2024","April, 2024",ANDHRA PRADESH,INCOMING FROM OTHER STATES,74079,1035719,39308.003300000004
India,"Calendar Year (Jan - Dec), 2024","April, 2024",ANDHRA PRADESH,OUTGOING TO OTHER STATES,23730,540880,40524.7408
India,"Calendar Year (Jan - Dec), 2024","April, 2024",ANDHRA PRADESH,WITHIN-STATE,38910,2137577,35427.997599999995
India,"Calendar Year (Jan - Dec), 2024","April, 2024",ARUNACHAL PRADESH,INCOMING FROM OTHER STATES,4033,39973,853.3195
India,"Calendar Year (Jan - Dec), 2024","April, 2024",ARUNACHAL PRADESH,OUTGOING TO OTHER STATES,302,2774,128.1354
India,"Calendar Year (Jan - Dec), 2024","April, 2024",ARUNACHAL PRADESH,WITHIN-STATE,347,6003,137.4244
India,"Calendar Year (Jan - Dec), 2024","April, 2024",ASSAM,INCOMING FROM OTHER STATES,28884,407183,13965.6033
India,"Calendar Year (Jan - Dec), 2024","April, 2024",ASSAM,OUTGOING TO OTHER STATES,11688,222978,7806.2529
India,"Calendar Year (Jan - Dec), 2024","April, 2024",ASSAM,WITHIN-STATE,15809,626462,11891.643600000001
India,"Calendar Year (Jan - Dec), 2024","April, 2024",BIHAR,INCOMING FROM OTHER STATES,67672,872308,21357.5359
India,"Calendar Year (Jan - Dec), 2024","April, 2024",BIHAR,OUTGOING TO OTHER STATES,10149,117276,4472.4001
India,"Calendar Year (Jan - Dec), 2024","April, 2024",BIHAR,WITHIN-STATE,14124,814879,14787.2546
India,"Calendar Year (Jan - Dec), 2024","April, 2024",CHANDIGARH,INCOMING FROM OTHER STATES,9136,171196,3283.2924
India,"Calendar Year (Jan - Dec), 2024","April, 2024",CHANDIGARH,OUTGOING TO OTHER STATES,5323,96945,2032.8587
India,"Calendar Year (Jan - Dec), 2024","April, 2024",CHANDIGARH,WITHIN-STATE,2438,29790,509.1386
India,"Calendar Year (Jan - Dec), 2024","April, 2024",CHHATTISGARH,INCOMING FROM OTHER STATES,28621,553973,19801.6674
India,"Calendar Year (Jan - Dec), 2024","April, 2024",CHHATTISGARH,OUTGOING TO OTHER STATES,9991,235916,21105.925499999998
India,"Calendar Year (Jan - Dec), 2024","April, 2024",CHHATTISGARH,WITHIN-STATE,9499,434019,13935.1679
India,"Calendar Year (Jan - Dec), 2024","April, 2024",DADRA AND NAGAR HAVELI,INCOMING FROM OTHER STATES,5806,195697,14477.0076
India,"Calendar Year (Jan - Dec), 2024","April, 2024",DADRA AND NAGAR HAVELI,OUTGOING TO OTHER STATES,3989,453364,18319.1281
India,"Calendar Year (Jan - Dec), 2024","April, 2024",DADRA AND NAGAR HAVELI,WITHIN-STATE,3145,129592,4899.9385
India,"Calendar Year (Jan - Dec), 2024","April, 2024",DAMAN AND DIU,INCOMING FROM OTHER STATES,20,35,0.9388
India,"Calendar Year (Jan - Dec), 2024","April, 2024",DAMAN AND DIU,OUTGOING TO OTHER STATES,1,1,0.0083
India,"Calendar Year (Jan - Dec), 2024","April, 2024",DAMAN AND DIU,WITHIN-STATE,0,0,0
India,"Calendar Year (Jan - Dec), 2024","April, 2024",DELHI,INCOMING FROM OTHER STATES,138723,3155182,59745.2571
India,"Calendar Year (Jan - Dec), 2024","April, 2024",DELHI,OUTGOING TO OTHER STATES,132739,1882719,51419.0472
India,"Calendar Year (Jan - Dec), 2024","April, 2024",DELHI,WITHIN-STATE,76084,1220115,38505.7129
India,"Calendar Year (Jan - Dec), 2024","April, 2024",GOA,INCOMING FROM OTHER STATES,8533,152527,5296.5014
India,"Calendar Year (Jan - Dec), 2024","April, 2024",GOA,OUTGOING TO OTHER STATES,1949,69895,5508.6146
India,"Calendar Year (Jan - Dec), 2024","April, 2024",GOA,WITHIN-STATE,2174,125800,2347.8357
India,"Calendar Year (Jan - Dec), 2024","April, 2024",GUJARAT,INCOMING FROM OTHER STATES,153854,2211987,109348.7981
India,"Calendar Year (Jan - Dec), 2024","April, 2024",GUJARAT,OUTGOING TO OTHER STATES,152000,5003635,146834.29570000002
India,"Calendar Year (Jan - Dec), 2024","April, 2024",GUJARAT,WITHIN-STATE,185012,5940300,160254.1292
India,"Calendar Year (Jan - Dec), 2024","April, 2024",HARYANA,INCOMING FROM OTHER STATES,118085,2435536,92053.41560000001
India,"Calendar Year (Jan - Dec), 2024","April, 2024",HARYANA,OUTGOING TO OTHER STATES,73567,5706809,98949.9626
India,"Calendar Year (Jan - Dec), 2024","April, 2024",HARYANA,WITHIN-STATE,84568,4441143,72450.0611
India,"Calendar Year (Jan - Dec), 2024","April, 2024",HIMACHAL PRADESH,INCOMING FROM OTHER STATES,26695,383805,11653.5648
India,"Calendar Year (Jan - Dec), 2024","April, 2024",HIMACHAL PRADESH,OUTGOING TO OTHER STATES,6358,311785,13138.9515
India,"Calendar Year (Jan - Dec), 2024","April, 2024",HIMACHAL PRADESH,WITHIN-STATE,10033,339155,6801.4128
India,"Calendar Year (Jan - Dec), 2024","April, 2024",JAMMU AND KASHMIR,INCOMING FROM OTHER STATES,21662,238554,7241.7386
India,"Calendar Year (Jan - Dec), 2024","April, 2024",JAMMU AND KASHMIR,OUTGOING TO OTHER STATES,3633,42481,3137.0121999999997
India,"Calendar Year (Jan - Dec), 2024","April, 2024",JAMMU AND KASHMIR,WITHIN-STATE,8692,283308,4814.6
India,"Calendar Year (Jan - Dec), 2024","April, 2024",JHARKHAND,INCOMING FROM OTHER STATES,31372,502082,18356.4243
India,"Calendar Year (Jan - Dec), 2024","April, 2024",JHARKHAND,OUTGOING TO OTHER STATES,9916,261586,18137.8464
India,"Calendar Year (Jan - Dec), 2024","April, 2024",JHARKHAND,WITHIN-STATE,12256,704269,16891.1121
India,"Calendar Year (Jan - Dec), 2024","April, 2024",KARNATAKA,INCOMING FROM OTHER STATES,127193,2313272,87236.4666
India,"Calendar Year (Jan - Dec), 2024","April, 2024",KARNATAKA,OUTGOING TO OTHER STATES,58695,2469637,75021.7551
India,"Calendar Year (Jan - Dec), 2024","April, 2024",KARNATAKA,WITHIN-STATE,116946,6084668,99964.8607
India,"Calendar Year (Jan - Dec), 2024","April, 2024",KERALA,INCOMING FROM OTHER STATES,58492,730350,20375.2382
India,"Calendar Year (Jan - Dec), 2024","April, 2024",KERALA,OUTGOING TO OTHER STATES,17352,213483,9491.2671
India,"Calendar Year (Jan - Dec), 2024","April, 2024",KERALA,WITHIN-STATE,46914,1930040,27578.230499999998
India,"Calendar Year (Jan - Dec), 2024","April, 2024",LADAKH,INCOMING FROM OTHER STATES,1021,7499,206.01409999999998
India,"Calendar Year (Jan - Dec), 2024","April, 2024",LADAKH,OUTGOING TO OTHER STATES,34,81,6.0915
India,"Calendar Year (Jan - Dec), 2024","April, 2024",LADAKH,WITHIN-STATE,103,979,18.3843
India,"Calendar Year (Jan - Dec), 2024","April, 2024",LAKSHADWEEP,INCOMING FROM OTHER STATES,55,526,8.4952
India,"Calendar Year (Jan - Dec), 2024","April, 2024",LAKSHADWEEP,OUTGOING TO OTHER STATES,3,5,0.2034
India,"Calendar Year (Jan - Dec), 2024","April, 2024",LAKSHADWEEP,WITHIN-STATE,0,0,0
India,"Calendar Year (Jan - Dec), 2024","April, 2024",MADHYA PRADESH,INCOMING FROM OTHER STATES,83799,1161075,37944.739
India,"Calendar Year (Jan - Dec), 2024","April, 2024",MADHYA PRADESH,OUTGOING TO OTHER STATES,24420,585730,28457.7123
India,"Calendar Year (Jan - Dec), 2024","April, 2024",MADHYA PRADESH,WITHIN-STATE,29245,1115815,23075.572999999997
India,"Calendar Year (Jan - Dec), 2024","April, 2024",MAHARASHTRA,INCOMING FROM OTHER STATES,226561,3566560,160274.139
India,"Calendar Year (Jan - Dec), 2024","April, 2024",MAHARASHTRA,OUTGOING TO OTHER STATES,125294,4734699,166707.9994
India,"Calendar Year (Jan - Dec), 2024","April, 2024",MAHARASHTRA,WITHIN-STATE,168013,9572870,206782.93230000001
India,"Calendar Year (Jan - Dec), 2024","April, 2024",MANIPUR,INCOMING FROM OTHER STATES,2912,33966,809.4455
India,"Calendar Year (Jan - Dec), 2024","April, 2024",MANIPUR,OUTGOING TO OTHER STATES,190,2366,170.3919
India,"Calendar Year (Jan - Dec), 2024","April, 2024",MANIPUR,WITHIN-STATE,188,4516,133.2726
India,"Calendar Year (Jan - Dec), 2024","April, 2024",MEGHALAYA,INCOMING FROM OTHER STATES,4201,52637,1474.2016
India,"Calendar Year (Jan - Dec), 2024","April, 2024",MEGHALAYA,OUTGOING TO OTHER STATES,637,34874,682.9705
India,"Calendar Year (Jan - Dec), 2024","April, 2024",MEGHALAYA,WITHIN-STATE,611,23211,540.7407
India,"Calendar Year (Jan - Dec), 2024","April, 2024",MIZORAM,INCOMING FROM OTHER STATES,2216,28152,539.4259999999999
India,"Calendar Year (Jan - Dec), 2024","April, 2024",MIZORAM,OUTGOING TO OTHER STATES,119,1335,37.0523
India,"Calendar Year (Jan - Dec), 2024","April, 2024",MIZORAM,WITHIN-STATE,68,2206,33.5862
India,"Calendar Year (Jan - Dec), 2024","April, 2024",NAGALAND,INCOMING FROM OTHER STATES,2885,32136,657.8363
India,"Calendar Year (Jan - Dec), 2024","April, 2024",NAGALAND,OUTGOING TO OTHER STATES,338,4474,134.8218
India,"Calendar Year (Jan - Dec), 2024","April, 2024",NAGALAND,WITHIN-STATE,226,3752,93.2703
India,"Calendar Year (Jan - Dec), 2024","April, 2024",ODISHA,INCOMING FROM OTHER STATES,39782,546289,26980.685899999997
India,"Calendar Year (Jan - Dec), 2024","April, 2024",ODISHA,OUTGOING TO OTHER STATES,8546,374501,32732.3971
India,"Calendar Year (Jan - Dec), 2024","April, 2024",ODISHA,WITHIN-STATE,20554,1388961,28320.575
India,"Calendar Year (Jan - Dec), 2024","April, 2024",Other Territory,INCOMING FROM OTHER STATES,211,13358,2774.3803000000003
India,"Calendar Year (Jan - Dec), 2024","April, 2024",Other Territory,OUTGOING TO OTHER STATES,26,4245,500.9715
India,"Calendar Year (Jan - Dec), 2024","April, 2024",Other Territory,WITHIN-STATE,6,121,23.7998
India,"Calendar Year (Jan - Dec), 2024","April, 2024",PUDUCHERRY,INCOMING FROM OTHER STATES,6338,133285,3689.4509000000003
India,"Calendar Year (Jan - Dec), 2024","April, 2024",PUDUCHERRY,OUTGOING TO OTHER STATES,2276,125524,4111.766
India,"Calendar Year (Jan - Dec), 2024","April, 2024",PUDUCHERRY,WITHIN-STATE,1402,52329,1687.9287
India,"Calendar Year (Jan - Dec), 2024","April, 2024",PUNJAB,INCOMING FROM OTHER STATES,78824,1111530,36427.0951
India,"Calendar Year (Jan - Dec), 2024","April, 2024",PUNJAB,OUTGOING TO OTHER STATES,53694,1178035,36450.722799999996
India,"Calendar Year (Jan - Dec), 2024","April, 2024",PUNJAB,WITHIN-STATE,76993,2320028,51637.30929999999
India,"Calendar Year (Jan - Dec), 2024","April, 2024",RAJASTHAN,INCOMING FROM OTHER STATES,116091,1632359,64820.8097
India,"Calendar Year (Jan - Dec), 2024","April, 2024",RAJASTHAN,OUTGOING TO OTHER STATES,58394,1624901,49931.0289
India,"Calendar Year (Jan - Dec), 2024","April, 2024",RAJASTHAN,WITHIN-STATE,67857,1871645,47657.6037
India,"Calendar Year (Jan - Dec), 2024","April, 2024",SIKKIM,INCOMING FROM OTHER STATES,2553,45266,1116.7326
India,"Calendar Year (Jan - Dec), 2024","April, 2024",SIKKIM,OUTGOING TO OTHER STATES,222,6571,3080.6811
India,"Calendar Year (Jan - Dec), 2024","April, 2024",SIKKIM,WITHIN-STATE,196,12011,259.9996
India,"Calendar Year (Jan - Dec), 2024","April, 2024",TAMIL NADU,INCOMING FROM OTHER STATES,127687,2352984,99645.2959
India,"Calendar Year (Jan - Dec), 2024","April, 2024",TAMIL NADU,OUTGOING TO OTHER STATES,78931,2461990,101529.7941
India,"Calendar Year (Jan - Dec), 2024","April, 2024",TAMIL NADU,WITHIN-STATE,136582,7484873,143151.69150000002
India,"Calendar Year (Jan - Dec), 2024","April, 2024",TELANGANA,INCOMING FROM OTHER STATES,68908,1465010,44996.5308
India,"Calendar Year (Jan - Dec), 2024","April, 2024",TELANGANA,OUTGOING TO OTHER STATES,36004,911708,38228.9162
India,"Calendar Year (Jan - Dec), 2024","April, 2024",TELANGANA,WITHIN-STATE,52757,3073839,46906.5978
India,"Calendar Year (Jan - Dec), 2024","April, 2024",TRIPURA,INCOMING FROM OTHER STATES,5002,46730,1236.2502
India,"Calendar Year (Jan - Dec), 2024","April, 2024",TRIPURA,OUTGOING TO OTHER STATES,621,3659,371.783
India,"Calendar Year (Jan - Dec), 2024","April, 2024",TRIPURA,WITHIN-STATE,2112,50270,1033.1136999999999
India,"Calendar Year (Jan - Dec), 2024","April, 2024",UTTAR PRADESH,INCOMING FROM OTHER STATES,222327,3438341,99928.0889
India,"Calendar Year (Jan - Dec), 2024","April, 2024",UTTAR PRADESH,OUTGOING TO OTHER STATES,96162,1990268,74557.6787
